file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,156,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,5
style.css,157,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,14
style.css,158,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,12
style.css,159,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,18
style.css,160,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,17
style.css,161,css,2d71e601,kylechoi101,2025-04-18,15:15:12,-07:00,2025-04-18T15:15:12-07:00,0,0
style.css,162,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,0
style.css,163,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,32
style.css,164,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,19
style.css,165,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,70
style.css,166,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,19
style.css,167,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,67
style.css,168,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,80
style.css,169,css,d196a954,kylechoi101,2025-04-18,16:46:01,-07:00,2025-04-18T16:46:01-07:00,0,58
style.css,170,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,67
style.css,171,css,d196a954,kylechoi101,2025-04-18,16:46:01,-07:00,2025-04-18T16:46:01-07:00,0,18
style.css,172,css,d196a954,kylechoi101,2025-04-18,16:46:01,-07:00,2025-04-18T16:46:01-07:00,0,9
style.css,173,css,d196a954,kylechoi101,2025-04-18,16:46:01,-07:00,2025-04-18T16:46:01-07:00,0,11
style.css,174,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,0
style.css,175,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,0
style.css,176,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,33
style.css,177,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,28
style.css,178,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,61
style.css,179,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,47
style.css,180,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,35
style.css,181,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,18
style.css,182,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,58
style.css,183,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,54
style.css,184,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,0
style.css,185,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,0
style.css,186,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,54
style.css,187,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,37
style.css,188,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,66
style.css,189,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,17
style.css,190,css,98efae92,kylechoi101,2025-04-18,16:05:00,-07:00,2025-04-18T16:05:00-07:00,0,0
style.css,191,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,46
style.css,192,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,15
style.css,193,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,56
style.css,194,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,55
style.css,195,css,2e25c36c,kylechoi101,2025-04-25,16:04:12,-07:00,2025-04-25T16:04:12-07:00,0,54
